time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2011-09-01T00:00:00.0000000Z,2011-10-01T00:00:00.0000000Z,2011-09-13T13:53:36.0000000Z,2011-09-29T11:46:35.0000000Z,5.800000000,6.060000000,4.800000000,4.820000000,847.811315720,134
2011-10-01T00:00:00.0000000Z,2011-11-01T00:00:00.0000000Z,2011-10-03T06:46:43.0000000Z,2011-10-31T16:20:27.0000000Z,4.850000000,6.250000000,2.220000000,3.300000000,2084.973630130,150
2011-11-01T00:00:00.0000000Z,2011-12-01T00:00:00.0000000Z,2011-11-01T12:00:55.0000000Z,2011-11-30T09:38:29.0000000Z,3.320000000,15.000000000,2.250000000,3.190000000,2315.574391440,135
2011-12-01T00:00:00.0000000Z,2012-01-01T00:00:00.0000000Z,2011-12-01T15:50:53.0000000Z,2011-12-31T17:00:03.0000000Z,3.460000000,4.750000000,2.820000000,4.580000000,2544.423685140,185
2012-01-01T00:00:00.0000000Z,2012-02-01T00:00:00.0000000Z,2012-01-01T04:16:14.0000000Z,2012-01-31T19:23:36.0000000Z,4.580000000,7.380000000,3.800000000,5.300000000,2019.920435890,695
2012-02-01T00:00:00.0000000Z,2012-03-01T00:00:00.0000000Z,2012-02-01T13:06:04.0000000Z,2012-02-29T23:49:03.0000000Z,5.530000000,6.500000000,4.140000000,4.990000000,4797.173840820,1002
2012-03-01T00:00:00.0000000Z,2012-04-01T00:00:00.0000000Z,2012-03-01T00:12:45.0000000Z,2012-03-31T22:29:41.0000000Z,4.990000000,5.440000000,4.540000000,4.900000000,9012.290257920,1226
2012-04-01T00:00:00.0000000Z,2012-05-01T00:00:00.0000000Z,2012-04-01T06:12:41.0000000Z,2012-04-30T18:52:12.0000000Z,4.890000000,5.430000000,4.690000000,5.000000000,16479.774036910,2353
2012-05-01T00:00:00.0000000Z,2012-06-01T00:00:00.0000000Z,2012-05-01T03:07:26.0000000Z,2012-05-31T23:39:28.0000000Z,4.940000000,5.170000000,4.860000000,5.170000000,18860.173150980,4268
2012-06-01T00:00:00.0000000Z,2012-07-01T00:00:00.0000000Z,2012-06-01T00:00:57.0000000Z,2012-06-30T23:24:52.0000000Z,5.170000000,6.690000000,5.140000000,6.610000000,63386.900229160,11889
2012-07-01T00:00:00.0000000Z,2012-08-01T00:00:00.0000000Z,2012-07-01T00:52:45.0000000Z,2012-07-31T23:36:45.0000000Z,6.600000000,9.280000000,6.360000000,9.280000000,50704.100828750,8538
2012-08-01T00:00:00.0000000Z,2012-09-01T00:00:00.0000000Z,2012-08-01T01:07:36.0000000Z,2012-08-31T23:32:34.0000000Z,9.280000000,16.410000000,7.100000000,10.160000000,83222.656928750,10287
2012-09-01T00:00:00.0000000Z,2012-10-01T00:00:00.0000000Z,2012-09-01T00:14:35.0000000Z,2012-09-30T23:28:32.0000000Z,10.200000000,12.660000000,9.490000000,12.220000000,55624.064652020,7635
2012-10-01T00:00:00.0000000Z,2012-11-01T00:00:00.0000000Z,2012-10-01T05:47:43.0000000Z,2012-10-31T23:58:56.0000000Z,12.210000000,12.990000000,9.500000000,11.000000000,83766.931406350,9212
2012-11-01T00:00:00.0000000Z,2012-12-01T00:00:00.0000000Z,2012-11-01T00:24:32.0000000Z,2012-11-30T23:56:31.0000000Z,11.000000000,12.740000000,10.250000000,12.430000000,88482.190488320,8707
2012-12-01T00:00:00.0000000Z,2013-01-01T00:00:00.0000000Z,2012-12-01T00:03:39.0000000Z,2012-12-31T21:16:28.0000000Z,12.390000000,13.940000000,12.240000000,13.240000000,91543.250003630,7246
2013-01-01T00:00:00.0000000Z,2013-02-01T00:00:00.0000000Z,2013-01-01T03:52:44.0000000Z,2013-01-31T23:47:23.0000000Z,13.240000000,21.000000000,12.770000000,20.460000000,124203.114581000,8441
2013-02-01T00:00:00.0000000Z,2013-03-01T00:00:00.0000000Z,2013-02-01T01:56:49.0000000Z,2013-02-28T23:57:50.0000000Z,20.300000000,34.420000000,19.500000000,33.530000000,124965.236962300,14550
2013-03-01T00:00:00.0000000Z,2013-04-01T00:00:00.0000000Z,2013-03-01T00:07:27.0000000Z,2013-03-31T23:56:08.0000000Z,33.530000000,100.000000000,33.000000000,96.150000000,177218.717693420,33798
2013-04-01T00:00:00.0000000Z,2013-05-01T00:00:00.0000000Z,2013-04-01T00:01:50.0000000Z,2013-04-30T23:59:10.0000000Z,95.500000000,259.340000000,45.000000000,139.880000000,439636.361252360,162658
2013-05-01T00:00:00.0000000Z,2013-06-01T00:00:00.0000000Z,2013-05-01T00:00:07.0000000Z,2013-05-31T23:59:11.0000000Z,139.870000000,140.300000000,81.500000000,127.910000000,299189.382893310,178936
2013-06-01T00:00:00.0000000Z,2013-07-01T00:00:00.0000000Z,2013-06-01T00:00:15.0000000Z,2013-06-30T23:58:56.0000000Z,127.760000000,128.860000000,86.200000000,89.530000000,249642.463845710,164743
2013-07-01T00:00:00.0000000Z,2013-08-01T00:00:00.0000000Z,2013-07-01T00:03:15.0000000Z,2013-07-31T23:59:27.0000000Z,89.400000000,101.000000000,63.000000000,98.280000000,420190.640156760,204148
2013-08-01T00:00:00.0000000Z,2013-09-01T00:00:00.0000000Z,2013-08-01T00:08:20.0000000Z,2013-08-31T23:59:27.0000000Z,97.770000000,134.950000000,90.000000000,128.000000000,332911.917645920,134911
2013-09-01T00:00:00.0000000Z,2013-10-01T00:00:00.0000000Z,2013-09-01T00:00:02.0000000Z,2013-09-30T23:58:46.0000000Z,127.900000000,132.090000000,115.000000000,126.250000000,318194.963512730,132125
2013-10-01T00:00:00.0000000Z,2013-11-01T00:00:00.0000000Z,2013-10-01T00:04:07.0000000Z,2013-10-31T23:59:48.0000000Z,126.250000000,206.600000000,85.000000000,203.540000000,626596.919998390,207706
2013-11-01T00:00:00.0000000Z,2013-12-01T00:00:00.0000000Z,2013-11-01T00:00:08.0000000Z,2013-11-30T23:59:59.0000000Z,203.540000000,1163.000000000,200.230000000,1119.520000000,965986.913586300,390020
2013-12-01T00:00:00.0000000Z,2014-01-01T00:00:00.0000000Z,2013-12-01T00:00:22.0000000Z,2013-12-31T23:59:35.0000000Z,1119.520000000,1153.270000000,382.210000000,732.000000000,952410.661998350,516672
2014-01-01T00:00:00.0000000Z,2014-02-01T00:00:00.0000000Z,2014-01-01T00:00:00.0000000Z,2014-01-31T23:59:44.0000000Z,732.000000000,995.000000000,725.000000000,803.000000000,443963.841847890,407080
2014-02-01T00:00:00.0000000Z,2014-03-01T00:00:00.0000000Z,2014-02-01T00:01:05.0000000Z,2014-02-28T23:59:56.0000000Z,803.000000000,827.380000000,400.000000000,551.890000000,825856.765555380,466489
